Job_title,Company,Location,Salary,Job_description
Salesforce Business Analyst/Administrator,Luminous Analytics,"New York, NY",110000.0,Business Analysis: 5 years (Preferred).We are seeking a Business Analyst for our Salesforce CRM initiatives.Work as the liaison between the business and IT.
"Data Analyst, Bureau of Immunization",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",84640.0,"Independence, initiative, and attention to detail.The School Compliance Unit, within the Bureau of Immunization, is responsible for monitoring and enforcing…"
Business Analyst,Cquest,"New York, NY",110000.0,"EY, PwC, KPMG, Deloitte, Accenture, IBM, Navigant, Capco, Mc: 5 years (Required).Our client supports a variety of challenging, fast-paced engagements for…"
Program Analyst,US Department of the Air Force,"Rome, NY",68530.5,"SPECIALIZED EXPERIENCE: Applicants must have at least one (1) year of specialized experience at the next lower grade GS-5, or equivalent in other pay systems."
Business and Data Analyst Manager,New York City ADMIN FOR CHILDREN'S SVCS,"New York, NY",79419.5,"Collects and analyzes statistical and other quantitative data, employing standard data collection and statistical techniques, in order to produce summary…"
Senior Data Analyst,Labaton Sucharow,"New York, NY",80000.0,Dynamic litigation law firm looking to expand its Finance Analytics team with a senior client data analyst who will be an active contributor and asset to the…
Sr. Search Analyst,ConvergeMarketing,"New York, NY",78000.0,"Execute tests, collect and analyze data, identify trends and insights to achieve maximum ROI.Hands on SEM: 3 years (Preferred).Temporarily due to COVID-19."
"Data Analyst, Bureau of HIV",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",84640.0,Work closely with data requestors to ensure that data provided will accurately and thoroughly fulfill their needs.
"Data Analyst, Bureau of Mental Health",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",81167.0,"The successful candidate will have 3-5 years full time experience processing, cleaning, manipulating, and analyzing large program or administrative datasets…"
"Data Analyst, Bureau of Health Promotion of Justice-Impacted...",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",81167.0,"New York City Department of Health and Mental Hygiene, Division of Mental Hygiene seeks one (1) fulltime Data Analyst for the Bureau of Health Promotion of…"
Full-time job opportunity for (BA/ DA/ SAS) with Immigration...,Jernel Technology Corporation,"New York, NY",55000.0,"Understanding and Capturing business needs, Requirement Analysis Process..Experience with System Development Life Cycle (SDLC) processes is highly desired.…"
Analyst | Transportation,New York City OFFICE OF MANAGEMENT & BUDGET,"Manhattan, NY",58573.5,Supervise analysts and assist Unit Head in reviewing analyst reports and assignments.Analyze data and other indicators to assess individual programs within the…
Junior Business Analyst,OneGroup Risk Management & Insurance,"Utica, NY",60000.0,Minimum of 3 years’ experience.Business analyst: 3 years (Preferred).Review and analyze system specifications and requirement documentation.
Business Performance Technical/Programming Analyst Manager,Visions Federal Credit Union,"Endicott, NY",98500.0,"Programming or development in IT industry: 3 years (Required).Advanced computer and math skills, adherence to confidentiality, detail-oriented."
Technical Business Analyst,NYC Criminal Justice Agency,"New York, NY",80000.0,"Very organized with excellent attention to detail and the ability to handle multiple initiatives, making sound decisions in ambiguous or difficult situations."
Business Analyst – Commercial eRA / Grant Management softwar...,Streamlyne,"Rochester, NY",100000.0,Education: Bachelor's or 5 years Research Administration.5 + years’ experience in Research Administration and/or Research Compliance.
Public Safety Business Analyst,New York City DEPT OF INFO TECH & TELECOMM,"Brooklyn, NY",112000.0,"Develop supporting analysis documentation including data dictionaries and use cases or acceptance criteria;A baccalaureate degree from an accredited college,…"
"Senior Data Analyst M/WBE, Enterprise Data Services",New York City MAYORS OFFICE OF CONTRACT SVCS,"Manhattan, NY",70000.0,"Familiarity with data models, database design development, data mining and segmentation techniques desired.A four-year high school diploma or its educational…"
Business Analysis Specialist,New York City NYC HOUSING AUTHORITY,"New York, NY",82653.0,Experience managing high-priority projects and tracking project lifecycles.Excellent administrative and organizational skills.
Business Analyst/Associate Consultant (US),Metaformers,"Albany, NY",70000.0,"Full-time availability on client site (5 days a week).Readiness to relocate and/or travel up to 100% upon company request; traveling 5 days a week, home on…"
Procurement Specialist and Data Analysis Coordinator-Entry L...,Stafkings Personnel Systems,"Binghamton, NY",40000.0,"Strong interpersonal, organizational, and detail-oriented skills required.Experience in pricing analysis, or customer support roles utilizing large databases…"
Business Analyst / Forms Librarian,"Regional Reporting, Inc.","New York, NY",80000.0,3-5 years’ business analyst experience.3-5 years’ experience with database management/analysis and reporting skills.1-3 years’ experience with VBA coding.
Business Analyst- Risk Management experience,The Forum Group,"New York, NY",80000.0,2-3 years’ experience in a first or second line operational risk management program (preferably within Operations or Technology at a bank).
"Business Analyst- Archer, Compliance/Risk",Ascendo Resources,"New York, NY",157500.0,"Business analyst/product management: 5 years (Required).Governance, Risk, and Compliance (GRC) concepts: 5 years (Required).3+ years of Agile experience."
"Senior Business Analyst, Bureau of Childcare",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",65111.0,"Analyze operations, including quantitative and qualitative data analysis, evaluate best practices, and assess operational improvement opportunities."
"Research Analyst, Bureau of Mental Health",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",67347.0,"Clean, recode, and manipulate data and assist in data management efforts through data quality review and thorough documentation of data management decisions."
DIRECTOR OF DATA ANALYTICS AND RESEARCH,New York City DEPARTMENT OF CORRECTION,"Queens, NY",98402.5,"Advising divisions on approaches and requirements for problem-solving related to data collection.Experience working with third-party research firms, including…"
Director of Child Care Data Analytics,New York City DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",94688.5,"Supervising child care data analysts on team, providing scientific and project direction and oversight.We promote environmental health through legal and data…"
"Compliance and Data Analysis Coordinator, Bureau of Environm...",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",81167.0,The Office of Building Water System Oversight (BWSO) within the Bureau of Environmental Sciences and Engineering (ESE) is responsible for conducting inspections…
Procurement Specialist and Data Analysis Coordinator-Entry L...,Stafkings Personnel Systems,"Binghamton, NY",40000.0,"This individual will assist with detailed analysis and validation of pricing data, proactively identify and address concerns regarding data, analysis of the…"
Business Analyst / Forms Librarian,"Regional Reporting, Inc.","New York, NY",80000.0,3-5 years’ business analyst experience.Business analyst: 3 years (Required).3-5 years’ experience with database management/analysis and reporting skills.
"Sr. Data Analyst - Analytics, Marketing, CPG",Jobot,"Chicago, IL",87500.0,Demonstrated skill with data visualization tools such as Tableau.Familiarity with relational database development and data warehousing.
Business Analyst - Strategy Consulting,Bainbridge,"Chicago, IL",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Sales Analyst,Doehler North America,"Chicago, IL",50000.0,"The Sales Analyst will focus on lead to order processes, compliance, and operations, as well as operational excellence and scalability within the North America…"
Business Analyst,zb.io,"Chicago, IL",91596.5,Business analyst: 5 years (Preferred).Web Applications/Systems: 5 years (Required).User Experience (UX): 5 years (Preferred).Temporarily due to COVID-19.
Business Intelligence Analyst - PBM Technology,The PHOENIX Health Search Group,"Chicago, IL",85000.0,"Rapidly Growing Player in the Pharmacy Benefits Management (PBM) Technology Services marketplace seeks Business Intelligence Analyst to discover, define, and…"
Business Analyst,Ardagh Group,"Rosemont, IL",80000.0,"Perform data gathering, validation and analysis to derive fact-based insights.1-3 year’s work experience, ideally in an analytically heavy role."
Business Analyst of Quality Improvement,Illinois Action for Children,"Chicago, IL",53900.0,"Works closely with agency departments to develop and oversee systems for data collection, analysis, and communication of program/departmental performance…"
Marketing Analyst,Anomalix,"Chicago, IL",45000.0,"Analyzing marketing data: 3 years (Required).Track and forecast trends in sales and marketing, and analyze in detail the data collected to provide management…"
Operations Analyst,Novo Surgical Inc,"Oak Brook, IL",42000.0,"3-5 years relevant experience.We are seeking an Operations Analyst whose primary responsibilities include ongoing customer satisfaction, improvement in…"
Senior Policy Analyst - Transportation (SPA220),The Chicago Metropolitan Agency for Planning (CMAP...,"Chicago, IL",75048.0,The Senior Policy Analyst will be responsible for and assist with quantitative and qualitative analysis and policy development across a range of transportation…
Operations Analyst,Novo Surgical Inc,"Oak Brook, IL",42000.0,"3-5 years relevant experience.Collect and analyze data for business insights.The role will also require collecting and analyzing data for business insights,…"
"Sr. Data Analyst - Analytics, Marketing, CPG",Jobot,"Chicago, IL",87500.0,This role will be responsible for the analysis and processing of raw client data.Responsibilities include working with SQL server to process raw client data…
Data Analyst,Integrated Healthcare Association,"Oakland, CA",82593.5,"3-5 years relevant experience.Keen attention to detail, a deep intuition for visualizing data structures and anticipating key data issues are essential."
"Data Analyst, Data Warehouse",FLYR Inc,"San Francisco, CA",102500.0,"We’re taking off on a mission to deliver a real-time prediction, pricing and offer management platform to major travel industry partners, each with millions of…"
Senior Data Analyst- Product,Blue Owl,"San Francisco, CA",182500.0,"Highly organized, attention to detail and curious.The Senior Data Analyst - Product will work with teams (product, marketing, engineering, data science, CX and…"
Data Analyst,Integrated Healthcare Association,"Oakland, CA",82593.5,"Keen attention to detail, a deep intuition for visualizing data structures and anticipating key data issues are essential.3-5 years relevant experience."
Business Analyst,Mills College,"San Francisco, CA",70500.0,"Looking for fresher/ experienced Business Analyst consultants for our direct client requirement.Visa Type : - Any Working Visa ( OPT, CPT, GC, GC-EAD, H4EAD,…"
Business Analyst - Strategy Consulting,Bainbridge,"San Mateo, CA",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Actuarial Analyst I,Nicolay Consulting Group Inc,"San Francisco, CA",78000.0,"2 to 4 years of educational and/or professional experience in a developing actuarial role.Academic, internship, volunteer, and work experience in a related…"
Business Analyst,Veloce,"San Francisco, CA",78084.0,We are looking for a Business Analyst who will be the vital link between our clients and in-house technicians by supporting and ensuring the successful…
Business Analyst,"InfoIMAGE, Inc.","Brisbane, CA",80000.0,"2-3 years of hands-on solid experience with data analysis, mapping and transformation.Performs data analysis; reviews files and mapping fields between…"
Data Warehouse Analyst/Business Analyst,ACBH,"Oakland, CA",92500.0,"ACBH Information Systems (IS) Department is seeking a Data Warehouse Analyst/Business Analyst.The Analyst will be responsible for the architecture, design, and…"
1053 Business Analyst Epic Willow,San Francisco Deparment of Public Health,"San Francisco, CA",117741.0,"The San Francisco Department of Public Health (DPH) utilizes the Epic electronic health record.Under the direction of the Epic Inpatient Manager, the Epic…"
Operations Analyst,California State University,"San Francisco, CA",52800.0,"Eligible and qualified on-campus applicants, currently in bargaining units 2, 5, 7, and 9 are given hiring preference."
122 HEALTHCARE ANALYTICS - Senior Business Intelligence Anal...,Alameda Alliance,"Alameda, CA",128460.0,"Generate a quality work product, presentable for content and audience, in a timely manner while maintaining strong attention to detail."
Business Analyst,AppleOne,"Oakland, CA",110000.0,"Prepare financial reports, forecasts and implement new processes to improve data quality and achieve financial goals."
1052 Business Analyst:Epic Inpatient Clinical Documentation,San Francisco Deparment of Public Health,"San Francisco, CA",101699.0,The San Francisco Department of Public Health (SFDPH) Information Technology Epic Team is looking to procure a permanent exempt (category 18- up to 3 years) …
9976 Technology Expert 1 - Epic willow Business Analyst,San Francisco Deparment of Public Health,"San Francisco, CA",136318.0,The Department of Public Health (DPH) is looking to procure a temporary (up to 5 years) Maintenance & Support Team IT Technology Expert I - Epic Willow Business…
"Sr. Analyst, Commercial Business Intelligence","Nuvola Staffing & Solutions, LLC.","San Rafael, CA",140000.0,"Five (5) plus years of experience working within a Business Intelligence/Analytics environment, with a focus on sales and marketing data analysis."
Entry Level Program Analyst (Audit Evaluator),US Other Agencies and Independent Organizations,"San Mateo, CA",48308.5,"Uses critical thinking, data analytics, and applied logic to discern meaning of and interpret data, and identify risks.0343 Management And Program Analysis."
Program Analyst (Audit Evaluator),US Other Agencies and Independent Organizations,"San Mateo, CA",70612.5,"This must include activities such as: (1) providing technical advice and expert guidance on audit related issues (e.g., ensuring compliance with financial or…"
Human Resources Analyst,First 5 Alameda County,"Alameda, CA",83500.0,Research and Analyze data to assist human resources projects.First 5 Alameda County offers a comprehensive benefits package with health care options to meet…
Financial Data Analyst,Confidential,"Leander, TX",70000.0,Ad-hoc modeling: 5 years (Required).Financial Data Analysis: 5 years (Required).Advanced Excel report creation: 5 years (Required).
"Data Reporting Analyst III, IV, or V",Texas Department of Transportation,"Austin, TX",84505.5,"Working with streaming data and unstructured data from multiple data sources.Collaborates with performance analysts to analyze and interpret data patterns, to…"
Business Analyst - Strategy Consulting,Bainbridge,"Austin, TX",62500.0,Strong organizational skills and attention to detail.We help our clients research and formulate strategies that enable them to outperform competition and…
Data Analyst,911 Datamaster Inc,"Austin, TX",40000.0,Identify data inconsistencies and conflicts in address data sets.Work towards aggressive timelines to maximize data accuracy.
Analyst - Federal Funds Analysis (Health and Human Services),Legislative Budget Board,"Austin, TX",45000.0,"Collect and analyze data, assessing for accuracy and documenting sources.Coordinate and collaborate with other LBB analysts on budget, performance, and revenue…"
Strategic Data Analyst III - Strategic Planning Divsion,Texas Department of Transportation,"Austin, TX",77862.0,"A key focus of this role will be helping transform data into actionable insights using data visualization software, such as Tableau.Travel Required: Up to 25%."
Data Analyst - Criminal Justice Data Analysis,Legislative Budget Board,"Austin, TX",45000.0,"Collect, organize, and assess data for accuracy; documents sources.Use statistical methods and software to analyze data sets and project program participation…"
Business Analyst (Mid Level),Cognizance Technologies,"Austin, TX",73000.0,"Translates business specifications into the programmer, data scientist, and end-user documentation.We are seeking a Business Analyst/Scrum Master who will work…"
Business Analyst III,Travis County,"Austin, TX",79424.5,"Bachelor's degree in Computer Science, Information Systems, Business Administration or a directly related field AND five (5) years of relevant work experience;"
Budget Analyst - Higher Education,Legislative Budget Board,"Austin, TX",45000.0,"Collect, organize and analyze data and prepare written materials, including publications.Complete tasks with appropriate levels of independence and attention…"
Budget Analyst - Public Safety & Criminal Justice,Legislative Budget Board,"Austin, TX",45000.0,"Collect, organize, and analyze data and prepare written materials, including publications.Complete tasks with appropriate levels of independence and attention…"
Senior Pega Business Analyst,Cognizance Technologies,"Austin, TX",82000.0,5 yrs relevant experience in:We are seeking a Business Analyst/Scrum Master who will work as a liaison between customers and subject matter expert in order to…
Operations Research Analyst (Data Scientist),US Department of the Army,"Austin, TX",87395.5,Education: Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to such a degree in a field which…
Senior Business Analyst,Nanda Technologies,"Austin, TX",100038.5,"Functional and technical requirements gathering, analysis and documentation with a strong attention to detail (5 years).Type: W2 (No C2C) & No Third party."
Transportation Program Division Business Analyst II,Texas Department of Transportation,"Austin, TX",68046.5,"5 years in business-related analysis, technical system analysis and design, project management and/or support."
Operations Business Analyst - Toll Operations Division,Texas Department of Transportation,"Austin, TX",48923.0,"In keeping with our commitment to this value our employees benefit from a wide array of programs and activities that include telework, flexed and compressed…"
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Seattle, WA",140600.0,"Product planning, defining detailed requirements, coordinating across teams (front end developers, data engineers, solution engineers, data scientists, data…"
Business Analyst - Strategy Consulting,Bainbridge,"Seattle, WA",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Systems Data Analyst,BiSoft,"Redmond, WA",85000.0,"Alternatively, a Master’s degree with 5 years of experience.Perform as the data expert for our products Bi-Pay, and Bi-Grocery."
"Director I, Data Products - BI & Analytics",Liberty Mutual Insurance,"Seattle, WA",140600.0,"As a Director I, Data Products with Liberty Mutual Insurance, you will be a key strategic leader responsible for creating and executing our BI and Analytics…"
Digital Business Analyst,Community Transit,"Everett, WA",80386.5,Three (3) years’ professional expertise analyzing software systems and business operations.The Digital Business Analyst will help Community Transit make travel…
HRIS Business Analyst,City of Seattle,"Seattle, WA",107031.0,"Through data analysis, product mapping and interviews, gather forms and data files from business units and assess requirements for system utilization and…"
Business Analyst,BiSoft,"Redmond, WA",90000.0,"Alternatively, a Master’s degree with 5 years of experience.Design and write specifications for new features and/or new releases according to business…"
Program Analyst,US Department of the Interior,"Seattle, WA",132758.0,"Liaise with staff to provide input and data for performance reporting.Experience in initiating, managing and completing research statistical data analysis…"
Sr. Research Data Analyst,Johns Hopkins University,"Seattle, WA",62352.5,"Two year of professional experience as a data analyst or similar quantitative position.Merging data, creating and recoding variables to prepare data for…"
Sr. Rates Management Analyst,City of Seattle,"Seattle, WA",104431.5,"At least three (3) years' experience in advanced financial analysis, financial management, budget preparation, and/or development of cost recovery rates,…"
PROGRAM ANALYST,US Department of the Navy,"Kitsap County, WA",80637.5,"Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position…"
MANAGEMENT & PROGRAM ANALYST,US Department of the Navy,"Bangor, WA",96654.5,"Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position…"
"Senior Director I, Data Science - GRS Predictive Analytics",Liberty Mutual Insurance,"Seattle, WA",192450.0,Manage 4-5 Data Scientists and provide daily guidance on model building while also attracting talent to continue building the team.
"Senior Director I, Data Science - GRS Predictive Analytics",Liberty Mutual Insurance,"Seattle, WA",192450.0,"Extensive experience with building models using unstructured data such free text, images, voice data etc.Become an expert in the GRS Claims data environment…"
Sr. Business Intelligence Analyst,Insight Global,"Tacoma, WA",110240.0,Tableau Desktop or Tableau Server.Model Creation (Regression or Predictive).Experience in Data Acquisition and Report Automation.
Data Analyst,Fallas Stores,"Gardena, CA",75000.0,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…"
Entry Level Business Analyst,ALCGlobalSoftware,"Los Angeles, CA",65000.0,"Business Analyst will work closely across all departments to understand business flow and capture the requirements, create usecases, user stories and suggest…"
Sr. Product Data Analyst - R/Python,Mercury Insurance Group,"Brea, CA",107500.0,At least 5-7 years experience in the Data and Analytics field; or equivalent combination of education and experience.R or Python: 5 years (Preferred).
School Climate Evaluation and Data Analyst,Vaughn Next Century Learning Center,"Pacoima, CA",48000.0,"$48,000, with a 3% annual increase.Working under the direction of the Aeries Manager and guidance from the School Climate Assistant Director and consultants,…"
Data Analyst,ONG HUMAN CAPITAL,"San Gabriel Valley, CA",60000.0,Participates in the ongoing development of data quality control systems to enhance data based decision making and quality control methodologies to improve…
Business Analyst - Strategy Consulting,Bainbridge,"Los Angeles, CA",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Business Analyst,"Ames IT and Numeric Solutions, LLC","El Monte, CA",67500.0,5: Monitors project progress by tracking activity; resolving problems; publishing progress reports; recommending actions.9: Experience with SQL is a plus.
